timestamp,agent_id,event_type,cultural_state,source_id,guild,narrative_coherence,strain_id
0,1,exposure,E,-1,Anachorètes,0.6333333333333333,M-001
0,2,exposure,E,-1,Colporteurs,0.6333333333333333,M-001
0,3,exposure,E,-1,Hérauts,0.6333333333333333,M-001
4,6,exposure,E,3,Colporteurs,0.6333333333333333,M-001
7,5,exposure,E,3,Scribes,0.6333333333333333,M-001
8,1,disenchantment,R,-1,Anachorètes,0.6333333333333333,M-001
9,4,exposure,E,3,Colporteurs,0.6333333333333333,M-001
10,5,disenchantment,R,-1,Scribes,0.4,RF-002
11,9,exposure,E,6,Anachorètes,0.6333333333333333,M-001
12,6,disenchantment,R,-1,Colporteurs,0.6333333333333333,M-001
15,253,exposure,E,4,Hérauts,0.6333333333333333,M-001
19,253,disenchantment,R,-1,Hérauts,0.6333333333333333,M-001
20,2,disenchantment,R,-1,Colporteurs,0.4,RF-002
24,9,disenchantment,R,-1,Anachorètes,0.6333333333333333,M-001
25,3,disenchantment,R,-1,Hérauts,0.4,RF-002
28,306,exposure,E,4,Colporteurs,0.4,MV-003
31,496,exposure,E,4,Colporteurs,0.4,MV-003
33,415,exposure,E,306,Anachorètes,0.4,MV-003
33,945,exposure,E,-1,Anachorètes,0.5916666666666667,PR-004
33,45,exposure,E,-1,Anachorètes,0.5916666666666667,PR-004
33,56,exposure,E,-1,Scribes,0.5916666666666667,PR-004
33,661,exposure,E,-1,Iconoclastes,0.5916666666666667,PR-004
33,373,exposure,E,-1,Iconoclastes,0.5916666666666667,PR-004
33,292,exposure,E,-1,Iconoclastes,0.5916666666666667,PR-004
33,215,exposure,E,-1,Anachorètes,0.5916666666666667,PR-004
33,446,exposure,E,-1,Scribes,0.5916666666666667,PR-004
33,258,exposure,E,-1,Scribes,0.5916666666666667,PR-004
33,343,exposure,E,-1,Scribes,0.5916666666666667,PR-004
33,632,exposure,E,-1,Hérauts,0.5916666666666667,PR-004
33,825,exposure,E,-1,Anachorètes,0.5916666666666667,PR-004
33,912,exposure,E,-1,Hérauts,0.5916666666666667,PR-004
33,777,exposure,E,-1,Iconoclastes,0.5916666666666667,PR-004
33,465,exposure,E,-1,Hérauts,0.5916666666666667,PR-004
